Gender,Location,Transaction_ID,Product_Category,Quantity,Coupon_Status,Date,Offline_Spend,Online_Spend,Coupon_Code
M,Chicago,16679,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16680,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16696,Nest-USA,2,Not Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16699,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16700,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16701,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
Male,Chicago,16702,Nest-USA,2,Clicked,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16703,Nest-USA,2,Not Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16704,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
Male,Chicago,16710,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16713,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16719,Nest-USA,1,Not Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16720,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16720,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16721,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16722,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16722,Nest-USA,2,Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16723,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16723,Nest-USA,1,Not Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16724,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16725,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16727,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16731,Nest-USA,2,Clicked,01-01-2019,4500,2424.5,ELEC10
M,California,16684,Nest-USA,2,Clicked,01-01-2019,4500,2424.5,ELEC10
M,California,16684,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
M,California,16688,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
M,California,16689,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16694,Nest-USA,1,Not Used,01-01-2019,4500,2424.5,ELEC10
M,California,16712,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
F,New York,16732,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
F,New York,16733,Nest-USA,1,Clicked,01-01-2019,4500,2424.5,ELEC10
F,New York,16736,Nest-USA,1,Used,01-01-2019,4500,2424.5,ELEC10
M,Chicago,16879,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16880,Nest-USA,2,Not Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16881,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16882,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16883,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16886,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,New Jersey,16819,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,New Jersey,16819,Nest-USA,one,Clicked,01-03-2019,4500,1576.38,ELEC10
F,New Jersey,16822,Nest-USA,3,Clicked,01-03-2019,4500,1576.38,ELEC10
Female,New Jersey,16823,Nest-USA,4,Clicked,01-03-2019,4500,1576.38,ELEC10
F,New Jersey,16825,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16826,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16830,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16833,Nest-USA,1,Not Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16835,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16836,Nest-USA,2,Used,01-03-2019,4500,1576.38,ELEC10
Female,Chicago,16836,Nest-USA,two,Clicked,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16837,Nest-USA,1,Used,01-03-2019,4500,1576.38,ELEC10
F,Chicago,16842,Nest-USA,2,Clicked,01-03-2019,4500,1576.38,ELEC10
M,Chicago,16844,Nest-USA,1,Clicked,01-03-2019,4500,1576.38,ELEC10
